association_name,canonical,score,wup,bert,method,verb_tokens,prep_tokens,adverb_tokens,all_tokens,participants,occurrence_count,low_confidence
ABSModulatesCaliper,Causes,0.7821,1.0,0.5642,wup+bert,modulates,,,abs | modulates | caliper,ABSModule + BrakeCaliper,2,
AHUServesFloor,UsedFor,0.7066,1.0,0.4131,wup+bert,serves,,,ahu | serves | floor,AirHandlingUnit + Floor,2,
AcademicSystemAdministersCourse,CapableOf,0.7089,0.8571,0.5606,wup+bert,administers,,,academic | system | administers | course,AcademicSystem + Course,2,
AccessControlSystemSecuresZone,Connects,0.7122,1.0,0.4244,wup+bert,secures,,,access | control | system | secures | zone,AccessControlSystem + Zone,2,
ActuatorGroupChangesEnergyState,UsedFor,0.5774,0.6667,0.4882,wup+bert,changes,,,actuator | group | changes | energy | state,ActuatorGroup + EnergyState,2,
ActuatorGroupChangesEnvironmentalState,UsedFor,0.5774,0.6667,0.4882,wup+bert,changes,,,actuator | group | changes | environmental | state,ActuatorGroup + EnvironmentalState,2,
ActuatorGroupChangesOccupancyState,UsedFor,0.5774,0.6667,0.4882,wup+bert,changes,,,actuator | group | changes | occupancy | state,ActuatorGroup + OccupancyState,2,
ActuatorGroupChangesSecurityState,UsedFor,0.5774,0.6667,0.4882,wup+bert,changes,,,actuator | group | changes | security | state,ActuatorGroup + SecurityState,2,
AdmissionDecisionCreatesStudent,MadeOf,0.7881,1.0,0.5762,wup+bert,creates,,,admission | decision | creates | student,AdmissionDecision + Student,2,
AdmissionDischarge,Causes,0.5766,1.0,0.1531,wup+bert,,,,admission | discharge,Admission + Discharge,1,
AdmissionsSystemProcessesStudent,Causes,0.7534,1.0,0.5068,wup+bert,processes,,,admissions | system | processes | student,AdmissionsSystem + Student,2,
AdvisorAdvisesStudent,Causes,0.5467,0.8571,0.2363,wup+bert,advises,,,advisor | advises | student,Advisor + Student,2,
AdvisorIsFacultyOrStaff,HasPrerequisite,0.6204,1.0,0.2408,wup+bert,is,,,advisor | is | faculty | or | staff,Advisor + FacultyMember,2,
AdvisorProgram,CapableOf,0.6058,0.8571,0.3544,wup+bert,,,,advisor | program,AcademicAdvisor + AcademicProgram,1,
AeropressDispensesToCup,UsedFor,0.4788,0.75,0.2077,wup+bert,dispenses | cup,to,,aeropress | dispenses | to | cup,AeropressKit + CoffeeMug,2,YES
AirFilterToThrottleBody,UsedFor,0.3973,0.0,0.3973,wup+bert,,to,,air | filter | to | throttle | body,AirFilter + ThrottleBody,2,YES
AirHandlingTerminalConditionsStructuralBay,HasA,0.5142,0.6,0.4284,wup+bert,conditions,,,air | handling | terminal | conditions | structural | bay,AirHandlingTerminal + StructuralBay,2,
AirInductionFeedsCombustion,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,air | induction | feeds | combustion,AirInductionSystem + CombustionAssembly,2,
AirQualityControlsPurifier,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,air | quality | controls | purifier,AirPurifier + AirQualitySensor,2,
AirQualitySensorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,air | quality | sensor | in | room,AirQualitySensor + Room,2,
AirlockOnFermenter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,airlock | on | fermenter,Airlock + Fermenter,2,
AlternatorChargesBattery,CapableOf,0.4321,0.5,0.3642,wup+bert,charges,,,alternator | charges | battery,Alternator + Battery,6,YES
AlternatorToEngineDriver,UsedFor,0.5177,0.0,0.5177,wup+bert,,to,,alternator | to | engine | driver,Alternator + Engine,2,
AnalyzerInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,analyzer | in | lab,ClinicalLaboratory + LabAnalyzer,2,
AnalyzerOnNetwork,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,analyzer | on | network,HospitalNetwork + LabAnalyzer,2,
AnesthesiaMachineInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,anesthesia | machine | in | or,AnesthesiaMachine + OperatingRoom,2,
AnesthesiologistInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,anesthesiologist | in | or,Anesthesiologist + OperatingRoom,4,
ApplicantEvaluatedByAdmissionDecision,ReceivesAction,0.6714,1.0,0.3428,wup+bert,evaluated,by,,applicant | evaluated | by | admission | decision,AdmissionDecision + Applicant,2,
AssessmentProducesResult,Causes,0.7887,1.0,0.5774,wup+bert,produces,,,assessment | produces | result,Assessment + Result,2,
AthleticFacilityOnCampus,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,athletic | facility | on | campus,AthleticFacility + OutdoorSpace,2,
AudioInClassroom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,audio | in | classroom,AudioSystem + Classroom,2,
AutoclaveInSterile,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,autoclave | in | sterile,Autoclave + SterileProcessingArea,2,
AutomationControllerCoordinatesAccessControlSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | access | control | system,AccessControlSystem + AutomationController,2,
